user,circle,friend
2895,276,2915
2895,276,2907
2895,276,2911
2895,276,2966
2895,276,2922
2895,276,1322
2895,276,2955
2895,276,2896
2895,276,2923
2895,276,2938
2895,276,2974
2895,276,2906
2895,276,2963
2895,276,2951
2895,276,2928
2895,276,2954
2895,276,2968
2895,276,2965
2895,276,2940
2895,276,2926
2895,276,2903
2895,276,2939
2895,276,2919
2895,276,2948
2895,276,2912
2895,276,2924
2895,276,2975
2895,10,2947
2895,10,2956
2895,10,2925
2895,10,2929
2895,10,2950
2895,10,2957
2895,10,2916
2895,10,2960
2895,10,2927
2895,10,2935
2895,10,2898
2895,10,2920
2895,10,2949
2895,10,2902
2895,10,2900
2895,10,2969
2895,10,2959
2895,10,2953
2895,10,2952
2895,10,2973
2895,10,2964
2895,10,2897
2895,10,2941
2895,10,2930
2895,10,2931
2895,10,2975
2895,10,2946
2895,10,2918
2895,10,2917
2895,10,2909
2895,84,2947
2895,84,2943
2895,84,2950
2895,84,2944
2895,84,2951
2895,84,2960
2895,84,2900
2895,84,2953
2895,84,2973
2895,84,2964
2895,84,2941
2895,84,2930
2895,84,2931
2895,84,2975
2895,84,2918
2895,84,2937
2895,84,2958
2895,84,2961
2895,278,2971
2895,278,2970
2895,278,2967
2895,278,2944
2895,278,2908
2895,278,2942
2895,18,2947
2895,18,2943
2895,18,2950
2895,18,2957
2895,18,2914
2895,18,2951
2895,18,2960
2895,18,2949
2895,18,2934
2895,18,2973
2895,18,2931
2895,18,2975
2895,18,2917
2895,18,2961
18005,1224,18042
18005,1224,18382
18005,1224,18279
18005,1224,18184
18005,1224,18329
18005,1224,18287
18005,1224,18223
18005,1224,18476
18005,1224,18099
18005,1224,18062
18005,1224,18161
18005,1224,18495
18005,1224,18165
18005,1224,18449
18005,1224,18308
18005,1224,18445
18005,1223,18109
18005,1223,18170
18005,1223,18312
18005,1223,18371
18005,1223,18516
18005,1223,18287
18005,1223,18356
18005,1223,18399
18005,1223,18115
18005,1223,18162
18005,1223,18457
18005,1223,18424
18005,1223,18412
18005,1223,18116
18005,1223,9675
18005,1223,18165
18005,1223,18390
18005,1223,18292
18005,1223,18251
18005,1223,18198
18005,1223,18358
18005,1223,18385
18005,1223,18430
18005,1223,18065
18005,1222,18316
18005,1222,18242
18005,1222,18415
18005,1222,18498
18005,1222,18086
8239,685,8332
8239,685,8312
8239,685,8330
8239,685,8262
8239,685,8292
8239,685,8275
8239,685,8281
8239,685,8290
8239,685,8274
8239,685,8328
8239,685,8336
8239,685,8308
8239,685,8301
8239,685,8314
8239,685,8279
8239,685,8280
8239,684,8257
8239,684,8255
8239,684,8266
8239,684,8248
8239,684,8337
8239,684,8298
8239,678,8299
8239,678,8285
8239,678,8323
8239,678,8329
8239,678,8256
8239,678,8317
8239,678,8320
8239,678,8273
8239,678,8305
8239,678,8246
8239,678,8303
8239,678,8319
8239,678,8251
8239,678,8333
8239,678,8306
8239,678,8270
8239,678,8254
8239,678,8240
8239,678,8259
8239,678,8291
8239,678,8324
8239,678,8271
8239,678,8327
8239,678,8310
8239,678,8318
8239,678,8267
8239,678,8249
8239,678,8272
8239,678,8252
8239,678,8283
8239,678,8288
8239,678,8242
8239,678,8277
8239,678,8250
8239,678,8289
8239,678,8331
8239,678,8309
8239,678,8302
8239,678,8311
8239,678,8296
8239,678,8334
8239,678,8253
8239,677,8326
8239,677,8295
8239,677,8264
8239,677,8276
8239,677,8293
8239,677,8265
8239,677,8269
8239,677,8321
8239,212,8292
8239,212,8281
8239,212,8328
8239,212,8245
8239,212,8261
8239,212,8300
8239,212,8297
8239,212,8268
8239,212,8307
8239,212,8244
8239,212,8316
9947,338,10022
9947,338,10378
9947,338,9986
9947,338,10010
9947,338,10088
9947,338,10219
9947,338,9985
9947,338,10339
9947,338,10330
9947,128,10067
9947,128,10252
9947,128,9953
9947,128,10209
9947,128,10167
9947,128,10188
9947,128,10029
9947,128,10080
9947,128,10238
9947,128,10189
9947,128,10266
9947,128,10385
9947,128,9968
9947,128,10321
9947,128,10297
9947,128,10381
9947,128,9986
9947,128,9973
9947,128,10077
9947,128,10166
9947,128,10392
9947,128,9969
9947,128,10380
9947,128,10151
9947,128,10175
9947,128,10190
9947,128,10368
9947,128,9979
9947,128,9970
9947,128,10030
9947,128,10058
9947,128,10192
9947,128,9957
9947,128,9949
9947,128,10273
9947,128,10226
9947,128,10131
9947,128,10013
9947,128,10049
9947,128,10139
9947,128,10062
9947,128,10088
9947,128,9999
9947,128,10019
9947,128,10288
9947,128,10306
9947,128,9965
9947,128,10128
9947,128,10125
9947,128,10268
9947,128,10081
9947,128,10309
9947,128,10091
9947,128,10364
9947,128,10140
9947,128,9958
9947,128,10132
9947,128,10324
9947,128,9985
9947,128,10204
9947,128,10191
9947,128,10327
9947,128,9980
9947,128,10082
9947,128,10361
9947,128,10291
9947,128,10337
9947,128,10095
9947,128,10206
9947,128,10371
9947,128,10367
9947,128,10002
9947,128,10149
9947,128,10043
9947,128,10046
9947,128,10369
9947,128,10315
9947,128,10234
9947,128,10141
9947,128,9982
9947,128,10224
9947,128,10257
9947,128,9948
9947,128,9997
9947,128,9955
9947,128,10060
9947,128,10107
9947,128,10201
9947,128,10036
9947,128,10052
9947,128,10212
9947,128,10042
9947,128,10059
9947,128,10111
9947,128,10148
9947,128,10007
9947,128,10193
9947,128,9971
9947,128,10005
9947,128,10276
9947,128,10339
9947,128,10313
9947,128,10342
9947,128,10245
9947,128,9963
9947,128,9959
9947,128,10391
9947,128,10054
9947,128,9978
9947,128,10349
9947,128,10203
9947,128,10330
9947,128,10325
9947,128,10146
9947,128,10359
9947,128,10370
9947,128,10230
9947,128,10037
9947,128,10093
9947,128,10249
9947,128,10346
9947,128,10031
9947,128,10255
9947,128,10065
9947,128,10363
9947,128,10290
9947,128,10287
9947,128,10218
9947,128,10138
9947,128,10150
9947,128,10040
9947,128,10285
9947,128,10348
9947,128,9956
9947,128,10261
9947,128,10075
9947,128,10316
9947,128,9995
9947,128,10247
9947,128,10008
9947,128,10200
9947,128,10372
9947,128,9974
9947,128,10251
9947,128,10162
9947,128,10103
9947,128,10179
9947,128,10143
9947,128,10311
9947,128,10280
9947,128,10026
9947,128,10294
9947,128,10208
9947,128,10343
9947,128,10069
9947,128,10137
9947,128,10135
9947,128,10265
9947,45,10270
9947,45,10144
9947,45,10087
9947,45,10282
9947,45,10393
9947,45,10185
9947,45,9996
9947,45,10100
9947,45,10096
9947,45,9984
9947,45,10155
9947,45,10157
9947,45,10078
9947,45,10213
9947,45,10076
9947,45,10181
9947,45,9988
9947,45,9990
9947,45,10250
9947,45,10379
9947,45,10168
9947,45,10090
9947,45,10347
9947,45,10228
9947,45,10236
9947,45,9967
9947,45,10127
9947,45,10366
9947,45,9962
9947,45,10134
9947,45,10260
9947,816,9960
9947,816,10331
9947,816,9954
9947,816,10207
9947,816,10180
9947,816,9952
9947,816,10217
9947,816,10159
9947,817,10298
9947,817,10024
9947,817,10083
9947,817,10154
9947,817,10015
9947,817,10156
9947,817,10256
9947,817,10214
9947,817,10114
9947,817,10328
9947,817,10275
9947,817,10136
9947,817,10303
9947,812,10099
9947,812,10277
9947,812,10174
9947,812,10334
9947,812,10202
9947,812,10254
9947,812,10373
9947,812,10152
9947,813,10006
9947,813,10293
9947,813,10021
9947,813,10274
9947,813,10305
9947,813,10308
9947,813,10338
9947,813,10089
9947,813,10184
9947,813,9966
9947,813,10079
9947,813,10055
9947,813,10147
9947,813,10233
9947,813,9991
9947,813,10240
9947,813,10344
9947,813,10215
9947,813,10085
9947,813,10356
9947,813,10066
9947,813,10357
9947,813,10165
9947,813,10205
9947,813,9975
9947,813,10259
9947,813,10160
9947,813,10041
9947,813,10033
9947,813,10322
9947,813,10057
9947,813,10194
9947,813,10242
9947,813,10012
9947,813,10286
9947,813,9981
9947,813,10383
9947,813,10375
9947,813,10097
9947,813,9961
9947,813,10292
9947,813,10199
9947,813,10220
9947,813,10063
9947,813,10158
9947,813,10119
9947,813,10232
9947,813,9992
9947,813,10045
9947,818,10039
9947,818,9988
9947,818,10121
9947,818,10068
9947,818,10284
9947,190,10362
9947,190,10073
9947,190,10272
9947,190,10332
9947,190,10271
9947,190,9998
9947,190,10129
9947,190,10072
9947,190,10308
9947,190,10338
9947,190,9983
9947,190,10246
9947,190,10174
9947,190,10110
9947,190,10144
9947,190,10145
9947,190,10017
9947,190,10183
9947,190,10087
9947,190,10089
9947,190,10004
9947,190,10184
9947,190,10118
9947,190,10374
9947,190,9966
9947,190,10079
9947,190,10055
9947,190,10147
9947,190,10177
9947,190,10233
9947,190,10171
9947,190,9951
9947,190,10262
9947,190,10211
9947,190,10109
9947,190,9991
9947,190,10048
9947,190,10235
9947,190,10334
9947,190,10341
9947,190,10240
9947,190,10282
9947,190,10202
9947,190,10344
9947,190,10320
9947,190,10365
9947,190,10215
9947,190,10393
9947,190,10185
9947,190,9996
9947,190,10231
9947,190,10085
9947,190,10278
9947,190,10376
9947,190,10115
9947,190,10100
9947,190,10356
9947,190,10003
9947,190,10039
9947,190,10187
9947,190,10066
9947,190,10263
9947,190,10357
9947,190,10165
9947,190,9984
9947,190,10142
9947,190,10205
9947,190,9975
9947,190,10155
9947,190,10259
9947,190,10160
9947,190,10041
9947,190,10157
9947,190,10033
9947,190,10078
9947,190,10322
9947,190,10057
9947,190,10182
9947,190,10213
9947,190,10076
9947,190,10351
9947,190,10194
9947,190,10181
9947,190,9988
9947,190,9990
9947,190,10250
9947,190,10196
9947,190,10379
9947,190,10121
9947,190,10242
9947,190,10068
9947,190,10173
9947,190,10012
9947,190,10164
9947,190,10105
9947,190,10286
9947,190,9981
9947,190,10383
9947,190,10375
9947,190,10097
9947,190,10335
9947,190,10384
9947,190,9961
9947,190,10292
9947,190,10243
9947,190,10168
9947,190,10090
9947,190,10199
9947,190,9954
9947,190,10347
9947,190,10378
9947,190,10220
9947,190,10112
9947,190,10377
9947,190,10064
9947,190,10124
9947,190,10034
9947,190,10158
9947,190,10010
9947,190,10284
9947,190,10354
9947,190,10032
9947,190,10353
9947,190,10301
9947,190,10117
9947,190,10336
9947,190,10387
9947,190,10195
9947,190,10358
9947,190,10360
9947,190,10050
9947,190,10333
9947,190,9992
9947,190,10120
9947,190,10070
9947,190,10045
9947,190,10253
9947,13,10133
9947,13,10092
9947,13,10116
9947,13,10239
9947,13,9977
9947,13,10386
9947,13,10028
9947,13,10020
9947,13,10394
9947,13,10304
9947,13,10014
9947,74,10310
9947,74,10267
9947,74,10227
9947,74,10388
9947,74,10086
9947,74,10094
9947,74,10248
9947,74,10016
9947,74,10229
9947,74,10101
9947,74,9994
9947,74,10207
9947,74,10126
9947,74,10350
9947,74,10210
9947,74,10296
9947,74,10153
9947,74,10161
9947,74,9972
9947,74,10390
9947,74,10326
9947,74,10300
9947,74,10156
9947,74,10035
9947,74,10225
9947,74,10169
9947,74,9993
9947,74,10382
9947,74,10281
9947,74,10329
9947,74,10023
9947,74,10355
9947,74,10197
9947,74,10307
9947,74,10009
9947,74,10319
9947,74,10170
9947,74,10176
9947,74,10389
9947,74,10237
9947,74,10053
9947,74,10172
9947,74,10312
9947,74,10027
9947,74,9964
9947,74,10122
9947,74,10269
9947,74,10223
9947,74,10108
9947,74,10241
9947,74,10340
9947,74,10295
9947,74,10317
9947,74,10084
9947,74,10038
9947,74,10289
9947,74,10283
9947,74,10159
9947,74,10071
9947,823,10264
9947,823,10018
9947,823,10186
9947,823,10001
9947,823,10279
9947,823,10345
9947,823,9950
9947,823,10009
9947,823,10163
9947,823,10113
9947,823,10216
9947,823,10198
9947,823,10222
9947,823,10269
9947,823,10104
9947,823,9989
9947,823,10074
9947,823,10011
9947,823,10314
9947,823,10051
9947,823,10071
9947,822,10299
9947,822,10244
9947,822,10352
9947,822,10323
9947,822,10318
9947,822,10102
9947,822,10061
9947,822,10219
9947,822,10152
9947,822,10123
9947,822,9976
9947,822,10098
9947,822,10130
9947,822,10328
9947,822,10178
9947,822,10000
9947,822,10025
26321,963,26412
26321,963,26411
26321,963,26339
26321,963,26431
26321,963,26343
26321,963,26338
26321,963,26376
26321,13,26391
26321,13,26383
26321,13,26333
26321,13,26423
26321,13,26322
26321,13,26449
26321,13,26368
26321,13,26467
26321,13,26392
26321,13,26450
26321,13,26466
26321,13,26397
26321,13,26439
26321,13,26385
26321,13,26422
26321,13,26395
26321,74,26480
26321,74,26468
26321,74,26443
26321,74,26400
26321,74,26476
26321,74,26452
26321,74,26381
26321,74,26405
26321,74,26341
26321,74,26377
26321,74,26433
26321,74,26369
26321,74,26418
26321,74,26360
26321,74,26375
26321,74,26356
26321,74,26489
26321,74,26437
26321,74,26446
26321,74,26359
26321,74,26353
26321,74,26344
26321,74,26430
26321,74,26388
26321,74,26386
26321,74,26447
26321,74,26457
26321,10,26379
26321,10,26455
26321,10,26482
26321,10,26340
26321,10,26409
26321,10,26366
26321,10,26390
26321,10,26477
26321,10,26415
26321,10,26462
26321,10,26402
26321,1549,26354
26321,1549,26481
26321,1549,26428
26321,1549,26409
26321,1549,26365
26321,18,26389
26321,18,26412
26321,18,26428
26321,18,26365
26321,18,26435
26321,18,26363
26321,18,26471
9642,720,9660
9642,720,9808
9642,720,9839
9642,720,9809
9642,720,9754
9642,720,9675
9642,720,9789
9642,720,9772
9642,720,9764
9642,720,9762
9642,720,9807
9642,720,9784
9642,720,9698
9642,720,9837
9642,720,9803
9642,720,9787
9642,720,9836
9642,720,9727
9642,720,9832
9642,720,9774
9642,720,9684
9642,720,9797
9642,720,9707
9642,720,9687
9642,720,9771
9642,720,9783
9642,720,9722
9642,720,9720
9642,212,9813
9642,212,9788
9642,212,9702
9642,212,9735
9642,212,9776
9642,212,9821
9642,788,9686
9642,788,9769
9642,788,9823
9642,788,9802
9642,788,9731
9642,788,9734
9642,788,9646
9642,788,9739
9642,788,9719
9642,788,9781
9642,788,9668
9642,788,9810
9642,789,9655
9642,789,9689
9642,789,9806
9642,789,9790
9642,789,9801
9642,789,9793
9642,789,9721
9642,789,9659
9642,783,9679
9642,783,9656
9642,783,9656
9642,783,9726
9642,783,9745
9642,783,9756
9642,783,9670
9642,783,9791
9642,783,9812
9642,783,9819
9642,780,9839
9642,780,9809
9642,780,9704
9642,780,9754
9642,780,9679
9642,780,9675
9642,780,9789
9642,780,9772
