birthday,education;classes;description,education;classes;from;id,education;classes;from;name,education;classes;id,education;classes;name,education;classes;with;id,education;classes;with;name,education;concentration;id,education;concentration;name,education;degree;id,education;degree;name,education;school;id,education;school;name,education;type,education;with;id,education;with;name,education;year;id,education;year;name,first_name,gender,hometown;id,hometown;name,id,languages;id,languages;name,last_name,locale,location,location;id,location;name,middle_name,name,political,religion,work;description,work;employer;id,work;employer;name,work;end_date,work;from;id,work;from;name,work;location;id,work;location;name,work;position;id,work;position;name,work;projects;description,work;projects;end_date,work;projects;from;id,work;projects;from;name,work;projects;id,work;projects;name,work;projects;start_date,work;projects;with;id,work;projects;with;name,work;start_date,work;with;id,work;with;name
0.0,,,,,,,,0.0,0.0,,,1.0,1.0,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,,3.0,3.0,1.0,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,2.0,2.0,,,,,,,4.0,4.0,1.0,,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,,2.0,0.0,,2.0,2.0,,2.0,,,,1.0,1.0,1.0,,,0.0,0.0,1.0,1.0,,,,,,,,,,1.0,,
3.0,,,,,,,,3.0,3.0,,,1.0,1.0,1.0,,,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,,3.0,3.0,,3.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,
4.0,,,,,,,,4.0,4.0,,,1.0,1.0,1.0,,,1.0,1.0,4.0,0.0,4.0,4.0,4.0,2.0,2.0,4.0,0.0,,4.0,4.0,0.0,4.0,,,,3.0,3.0,,,,,,2.0,2.0,,,,,,,,,,3.0,,
,,,,,,,,,,,,,,,,,,,5.0,0.0,,,5.0,,,5.0,0.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,,,,,,,,,,,3.0,3.0,1.0,,,0.0,0.0,6.0,1.0,5.0,5.0,6.0,,,6.0,0.0,,5.0,5.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,,,,,,,5.0,5.0,,,1.0,1.0,1.0,,,1.0,1.0,7.0,1.0,,,7.0,2.0,2.0,7.0,0.0,,0.0,0.0,,7.0,,,,8.0,8.0,3.0,,,1.0,1.0,3.0,3.0,,,,,,,,,,6.0,,
7.0,,,,,,,,6.0,6.0,,,1.0,1.0,1.0,,,1.0,1.0,8.0,1.0,2.0,2.0,8.0,,,8.0,0.0,,0.0,0.0,,8.0,,,,9.0,9.0,4.0,,,1.0,1.0,6.0,0.0,,,,,,,,,,4.0,,
,,,,,,,,,,,,,,,,,,,9.0,1.0,,,9.0,,,9.0,0.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,10.0,0.0,,,10.0,,,10.0,0.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
8.0,,,,,,,,7.0,7.0,,,1.0,1.0,1.0,,,1.0,1.0,11.0,0.0,3.0,3.0,11.0,,,11.0,1.0,,0.0,0.0,,11.0,,,,11.0,11.0,5.0,,,3.0,3.0,8.0,7.0,,,,,,,,,,2.0,,
9.0,,,,,,,,,,,,9.0,9.0,1.0,,,0.0,0.0,12.0,1.0,6.0,6.0,12.0,,,12.0,0.0,,5.0,5.0,,12.0,,,,12.0,12.0,,,,,,,,,,,,,,,,,2.0,,
